,"('distance',)","('1mer',)","('2mer',)","('distance', '1mer')","('distance', '2mer')","('1mer', '2mer')","('distance', '1mer', '2mer')"
0,0.04657739612511672,0.026044091110128266,0.04634439220581098,0.04251892270638232,0.04965396889058655,0.048911346300533946,0.05362590261886602
1,0.039737214703425235,0.040237525879917184,0.038821618891551765,0.05495529581529581,0.04802201419226591,0.03890703652343678,0.04518659171299753
2,0.046724474365503775,0.03833850144863438,0.049203971939653056,0.05405895617667358,0.04524823489204294,0.04087967316017317,0.044673881327893475
3,0.04552341745145693,0.028939776606953717,0.03717126216810141,0.04158351230640704,0.04171148208329861,0.04083159861770795,0.04858504449626741
4,0.04877989972124116,0.02630183580609277,0.040722751514966994,0.05155665655749854,0.04558900197510794,0.040945762936268046,0.04535768427222148
5,0.05065900951711557,0.031623933509833446,0.045226788562314886,0.04854169849758085,0.04606740112312868,0.055015045123958176,0.04406627143038756
6,0.048677979190011766,0.02203597876030657,0.056477421584263686,0.044552128873878105,0.05001309108623686,0.054023004559323205,0.04716725581779761
7,0.04702389085719349,0.026148927480291056,0.046906016042780746,0.059000932892566214,0.0554314231090547,0.04468005430242273,0.040121386800334176
8,0.053569731801931295,0.029982323562918002,0.03721070644331513,0.04570716370869824,0.03940125810535018,0.04418263681902967,0.0608492575748835
9,0.04221740833143465,0.026065061162263946,0.0553389411027569,0.05033516556542872,0.052241070713529146,0.04369233409610985,0.038974336489328416
10,0.044848838154102226,0.031541453689966276,0.037483643578643575,0.044122497490432275,0.04607768243071447,0.04524560072364707,0.05377314205309057
11,0.050688138792633765,0.03019638809299464,0.048012125858702945,0.04773210470244223,0.044935413938822874,0.04569823643624289,0.04842567760756615
12,0.04546683342981408,0.027987008110934554,0.04584071545284781,0.05063328679894537,0.040107665986441735,0.03890874003092673,0.04374119721710515
13,0.05666142932904154,0.030374025771823188,0.04296401835927866,0.04723329741349421,0.0452237411711096,0.047706305497720904,0.051671211101457434
14,0.047039334290543064,0.0331503073749436,0.042467806942761845,0.047598899013838944,0.0453962669100541,0.04315249905323435,0.04988211182260853
15,0.05376750997368644,0.028821522301452303,0.0449521433689626,0.04875696182737709,0.04869554259617307,0.060514194460080696,0.054198392607773614
16,0.05157088504108738,0.038155589022533534,0.04484413476315566,0.04695297769437155,0.04751116460938442,0.0410713732594487,0.04518539178829427
17,0.050362304135263894,0.023400345725246623,0.029977514644648512,0.056885430317054356,0.037871892297588895,0.04620536122915985,0.03991698451402399
18,0.048644082166394056,0.034031119465329995,0.04812457852858916,0.04516701990070697,0.05182800912855261,0.046716544634808364,0.03751255003596335
19,0.0480042989988696,0.024598824140665672,0.03679277739804056,0.05641888208372594,0.04648838648294766,0.034175750010148984,0.04308134862848822
20,0.05133041141774893,0.028910180754917598,0.040169465944272446,0.05432711907030019,0.05131006493506494,0.047956623858238956,0.0463402904427201
21,0.04250571298290483,0.023130364902928843,0.042054834394752286,0.04334876509455458,0.04802846275634,0.050741757679772556,0.03817487287058226
22,0.05155768059036481,0.03280481493394806,0.035776573362511915,0.04705212810104972,0.05905751951082076,0.046865567838937805,0.05578807014708718
23,0.049778495365972474,0.032346946689361555,0.03846673477171189,0.05034178019158568,0.05161319966583124,0.05883205513784462,0.05251386426788315
24,0.05087624638792206,0.0347860443241922,0.05000553258145364,0.04412319183654323,0.04175349747887506,0.04484353510588064,0.049861486268775276
