,"('one_hot',)","('1mer',)","('2mer',)","('one_hot', '1mer')","('one_hot', '2mer')","('1mer', '2mer')","('one_hot', '1mer', '2mer')"
0,0.04269900872770161,0.04250816227378013,0.04357720295055822,0.05183221196373287,0.051115487046493234,0.05154731905521379,0.05225284780578898
1,0.05321218507692933,0.04325397727272728,0.0521143478180746,0.04694735395170481,0.05262394527986634,0.05357563178780285,0.044315173163086745
2,0.04683966109876965,0.0475724971395881,0.039047489177489174,0.047185365402141716,0.05827739210995404,0.0562218935637843,0.053797149926097285
3,0.050193513500483754,0.04187762398420294,0.03978166480062765,0.044666854161602446,0.04220669602200494,0.04922845520931485,0.056939023875273706
4,0.04879355883314424,0.04424240117091147,0.054773057644110265,0.04908573556998558,0.04061856970858519,0.04850079837687103,0.05538109382989247
5,0.04111386724386725,0.04369038918597743,0.03952059404303986,0.04128400979780304,0.0407915141453572,0.062466494885347536,0.04404673378522063
6,0.04408449950483627,0.052628122843340244,0.04908343837535013,0.03845192526771475,0.03679453711877927,0.04458120490620491,0.04582281715487666
7,0.04228633685436417,0.043882811508349266,0.0395042475540941,0.03826924297976593,0.050492728663948584,0.048609627329192544,0.04796879096621659
8,0.04649979948779291,0.046590810549100026,0.04029223565336265,0.046027813691838296,0.054240481680155606,0.04069806821071124,0.05615667768924365
9,0.047682974481658695,0.04509048568876271,0.028213204896929994,0.04632339996604702,0.06714033477646178,0.05284799563359346,0.05414608111187058
10,0.05070802815605448,0.04860852711201842,0.03887811916344525,0.04734779785674758,0.058468751589117726,0.053766116377901275,0.05031710468529691
11,0.04866510534039704,0.042748705096073515,0.0527699067414914,0.044526255813330126,0.04558905656083944,0.047427389579020006,0.05126549846483216
12,0.04512969548121596,0.05063084811625573,0.046081134453781515,0.047496584598751786,0.040952758439344115,0.05001263905811961,0.057387046767601015
13,0.04974763825852511,0.051688272845370045,0.048985248877444335,0.03816547037059052,0.043510628260628265,0.044883952528379775,0.04886583883952305
14,0.04782154233505921,0.049405352301207565,0.04506770154771568,0.04882588627365515,0.037146542312924066,0.04862246842863767,0.04311894936325546
15,0.04957983517059137,0.044250510774279786,0.04886727337146633,0.04885127344877345,0.04508303495311168,0.04984969463203075,0.054218207098012595
16,0.05034921628640669,0.044836006881013274,0.051775833048530416,0.0477448107233324,0.03988354757213891,0.047888740192873494,0.04912217417599451
17,0.052965975171886934,0.05049054376058724,0.04263266389837261,0.04747059833086552,0.05476504258835495,0.05019143790849674,0.056138045777751666
18,0.04828389733925607,0.04531484420382119,0.030962284440854915,0.04134210213032581,0.04580218662598526,0.05029202940797704,0.04229452627733016
19,0.04460075486677925,0.04851782507739938,0.04252217871997284,0.040636013384620195,0.049545735987631775,0.05154005753018911,0.03824411597174755
20,0.05195960591630592,0.04845298255665903,0.047079791529121194,0.041850421695951115,0.04284313687297955,0.05303823757763976,0.03968815409736463
21,0.052490051786663626,0.04745809623696924,0.0397549158039542,0.037463924640031454,0.0496652856238189,0.049718311899658654,0.0402298561992927
22,0.04987602792967267,0.0497290260908682,0.031202525806106374,0.04726463512837352,0.051862550397733465,0.05350403584160938,0.057132676667158086
23,0.045487840812214214,0.04004327375926448,0.03641082096540856,0.045864695871761084,0.04550138836541482,0.05205905035927414,0.05238674842379918
24,0.047401117281695285,0.04320907088790721,0.04371669788330006,0.046351329427151804,0.05094374322169058,0.05558274168623138,0.05396199556377575
25,0.04865767103997367,0.05003504691075515,0.039440996692692756,0.04852661817587446,0.04628062888951434,0.04946620683378407,0.05020111329047257
26,0.0405604096894391,0.04751044933347863,0.0458967261904762,0.043302159244264504,0.040824219542889624,0.05195670548921323,0.04571420596946914
27,0.051001807956218705,0.04014312727223197,0.04850579640947288,0.05826401231441193,0.04682292789461403,0.04611851399760607,0.0557780832282986
28,0.050250504332792004,0.04761306205236411,0.046893139613691674,0.04503189692746194,0.05065065659454961,0.049824502295090535,0.04555259867583397
29,0.04820084978861294,0.043145754976018136,0.04224309640522876,0.044169386865355674,0.04283926563202879,0.047563409090909094,0.05598049882805907
30,0.04727651603909021,0.05146248985101287,0.05037585385031205,0.04631253720744938,0.04950760216137791,0.057420488308366824,0.06240006570789332
31,0.0509184637150887,0.04381204475091473,0.039805033416875524,0.04880345310206462,0.04596314973038658,0.0512086639606262,0.05746549307087149
32,0.04735793934388644,0.051467673103212576,0.04659920121158511,0.04166495496093174,0.049258132794932,0.055979891792989636,0.047817012953506766
33,0.046168534329585106,0.04425093984962406,0.0386548039854247,0.037672860219602713,0.049160552160780996,0.04793988535432202,0.05909411963165832
34,0.05183233466241362,0.05126836008470374,0.031249766476176492,0.05502062386358052,0.05116632680185311,0.05431830799825652,0.04791680002872795
35,0.05636231483426705,0.04686245432955792,0.04000874108855802,0.04255329727480757,0.04902951555023923,0.059090572353343265,0.055127424257029524
36,0.05455011106144257,0.04860651670348467,0.041076377688583236,0.03903188428022524,0.053936803202835816,0.05453786484637542,0.05030906765018607
